peakid,pkname,location,heightm,heightf,region,restrict,pstatus,pyear,pexpid
MUST,Mustang Himal,Mustang Himal (S of Mansail on Tibetan border),6195,20325,6,Opened in 2014,2,2014,MUST14301
MNSL,Mansail,Mustang Himal (NW of Lo Manthang on Tibetan border),6235,20456,6,Opened in 2014,2,2014,MNSL14301
CPHU,Chhochenphu Himal,Ohmi Kangri Himal (SW of Pabuk Kang near Tibetan border),6260,20538,1,Opened in 2014,1,nan,None
TANK,Tankya I,Kanti Himal (NE of Mariyang on Tibetan border),6305,20686,7,Opened in 2014,1,nan,None
GORK,Gorakh Khang,Gorakh Khang (ENE of Simikot on Tibetan border),6254,20518,7,Opened in 2014,1,nan,None
RAUN,Raungsiyar,Rolwaling Himal (N of Pimu),6224,20420,2,Opened in 2014,2,2015,RAUN15301
LDAK,Langdak,Rolwaling Himal (N of Raungsiyar and Pimu),6220,20407,2,Opened in 2014,2,2015,LDAK15301
TKRE,Takargo East,Rolwaling Himal (ESE of Takargo),6152,20184,2,Opened in 2014,2,2015,TKRE15301
OMIT,Omitso Go,Rolwaling Himal (NE of Kang Nachugo on Tibetan border),6332,20774,2,Opened in 2014,1,nan,None
CBAM,Chhopa Bamare,Rolwaling Himal (NW of Lamabagar on Tibetan border),6109,20043,2,Opened in 2014,2,2019,CBAM18401
YALW,Yalung Kang West,Kangchenjunga Himal (W summit of Yalung Kang),8077,26499,1,Opened in 2014,1,nan,None
KANN,Kangchenjunga North,Kangchenjunga Himal (small knob north of Main summit),7938,26043,1,Opened in 2014,1,nan,None
KBNE,Kangbachen East,Kangchenjunga Himal (plateau SE of Kangbachen?),7780,25525,1,Opened in 2014,1,nan,None
HERZ,Herzog Peak,Annapurna Himal (WSW of Roc Noir),7555,24787,5,Opened in 2014,2,nan,None
GANW,Gangapurna West,Annapurna Himal (W of Gangapurna),7140,23425,5,Opened in 2014,1,nan,None
CHMR,Chamar,Shringi Himal (SSE of Chamar),7161,23494,4,None,1,nan,None
NGAP,Nepal Gap Peak,Kangchenjunga Himal (ENE of Gimmegela on Indian border),7007,22989,1,Opened in 2014,1,nan,None
GAUS,Gaurishankar South,Rolwaling Himal (S of Gaurishankar),7010,22999,2,Opened in 2014,2,1979,GAUS79301
BURK,Burke Kang,Khumbu Himal (ENE of Hungchhi on Tibetan border),6942,22776,2,Opened in 2014,2,2017,BURK17301
HMLE,Himlung East,Peri Himal (E of Himlung Himal on Tibetan border),6932,22743,5,Opened in 2014,2,2017,HMLE17101
YNGS,Yangra Kangri South,Ganesh Himal (NW of Ganesh III on Tibetan border),6863,22516,4,Opened in 2014,1,nan,None
NUPL,Nup La Kang,Khumbu Himal (N of Nup La on Tibetan border),6861,22510,2,Opened in 2014,2,2018,NUPL18301
CHUM,Chumbu,Khumbu Himal (WSW of Khangri Shar near Tibetan border),6859,22503,2,Opened in 2014,1,nan,None
PHUG,Phu Kang Go,Peri Himal (SE of Cheo on Tibetan border),6767,22201,5,Opened in 2014,2,2011,PHUG11301
GURA,Guras,Guras Himal (NE of Nampa on Tibetan border),6744,22126,7,Opened in 2014,1,nan,None
THRK,Tharke Kang,Khumbu Himal (S of Nup La on Tibetan border),6710,22014,2,Opened in 2014,2,2017,THRK17301
HUGO,Hulang Go,Peri Himal (WNW of Ratna Chuli on Tibetan border),6687,21939,5,Opened in 2014,1,nan,None
SHNW,Shershon Northwest,Makalu Himal (NW of Shershon on Tibetan border),6682,21923,2,Opened in 2014,2,1980,SHNW80301
AGLE,Agole East,Rolwaling Himal (E of Tengi Ragi Tau),6675,21900,2,Opened in 2014,1,nan,None
ROLK,Rolwaling Kang,Rolwaling Himal (NNE of Tarkago),6664,21864,2,Opened in 2014,2,2016,ROLK16301
YARW,Yarwa,Guras Himal (NW of Nampa on Tibetan border),6644,21798,7,Opened in 2014,1,nan,None
YANG,Yangri,Jugal Himal (N of Phurbi Chhyachu on Tibetan border),6535,21440,3,Opened in 2014,1,nan,None
LCHN,Lachama North,Changla Himal (N of Lachama Chuli on Tibetan border),6628,21745,7,Opened in 2014,1,nan,None
CHNG,Changdi,Palchung Himal (SE of Kanti Himal peak on Tibetan border),6623,21729,7,Opened in 2014,1,nan,None
GOLD,Goldum Peak,Jugal Himal (on Tibetan border),6632,21759,3,Opened in 2014,1,nan,None
THOC,Thoche Go,Peri Himal (SE of Cheo Himal on Tibetan border),6602,21660,5,Opened in 2014,1,nan,None
KCHS,Kangchung Shar,Khumbu Himal (NE of Gokyo Lake),6063,19892,2,Opened in 2014,2,1984,KCHS84301
PHUN,Phu Kang North,Peri Himal (N of Cheo Himal on Tibetan border),6580,21588,5,Opened in 2014,1,nan,None
PTHE,Pethangtse East,Khumbu Himal (ESE of Pethangtse on Tibetan border),6572,21562,2,Opened in 2014,2,2008,PTHE08101
PHNG,Phungi,Peri Himal (SE of Ratna Chuli on Tibetan border),6524,21404,5,Opened in 2014,1,nan,None
KNTE,Kanti Himal East,Kanti Himal (ENE of Kanti Himal on Tibetan border),6516,21378,7,Opened in 2014,1,nan,None
JARK,Jarkya,Manaslu Himal (N of Larkya La on Tibetan border),6473,21237,4,Opened in 2014,1,nan,None
MARW,Mariyang West,Kanti Himal (WSW of Mariyang on Tibetan border),6455,21178,7,Opened in 2014,1,nan,None
MAYT,Mayonthang Kang,Kanti Himal (NW of Changdi Himal on Tibetan border),6449,21158,7,Opened in 2014,1,nan,None
LNJU,Langju,Shringi Himal (S of Tobsar),6426,21083,4,Opened in 2014,2,2017,LNJU17301
JYAC,Jyachhung,Byas Risi Himal (NNW of Nampa on Tibetan border),6338,20794,7,Opened in 2014,1,nan,None
GYLA,Gyala,Manaslu Himal (NNE of Larkya La on Tibetan border),6363,20876,4,Opened in 2014,1,nan,None
DOLM,Dolma Khang,Rolwaling Himal (SE of Gaurishankar on Tibetan border),6332,20774,2,Opened in 2014,2,1980,DOLM80101
KAIP,Kaipuchonam,Kanti Himal (WNW of Changdi on Tibetan border),6329,20764,7,Opened in 2014,1,nan,None
LDNG,Langdung,Rolwaling Himal (WSW of Ripimo Shar on Tibetan border),6326,20755,2,Opened in 2014,2,2017,LDNG17401
DZA2,Dzanye II,Janak Himal (S of Danzye Peak),6318,20728,1,Opened in 2014,2,2015,DZA215301
PAMA,Pama Himal,Shringi Himal (N of Chamar on Tibetan border),6300,20669,4,Opened in 2014,1,nan,None
PERH,Peri Himal,Peri Himal (SE of Cheo Himal on Tibetan border),6296,20656,5,Opened in 2014,1,nan,None
TAKL,Takla Kang,Kanti Himal (SSE of Kanti Himal peak on Tibetan border),6276,20591,7,Opened in 2014,1,nan,None
KOGI,Kogi Khang North,Kanti Himal (ESE of Kanti Himal peak on Tibetan border),6275,20587,7,Opened in 2014,1,nan,None
ASAJ,Asajya Tuppa,Gorakh Himal (ENE of Simikot on Tibetan border),6265,20554,7,Opened in 2014,1,nan,None
KOJS,Kojichuwa South,Kanti Himal (SW of Kojichuwa Chuli on Tibetan border),6264,20551,7,Opened in 2014,1,nan,None
PKAR,Pankar Himal,Manaslu Himal (ENE of Samagaon on Tibetan border),6264,20551,4,Opened in 2014,2,2018,PKAR18101
