peakid,pkname,location,heightm,heightf,region,restrict,pstatus,pyear,pexpid
GIMM,Gimmigela Chuli,Kangchenjunga Himal (N of Kangchenjunga on Indian border),7350,24114,1,None,2,1994,GIMM94301
GLAC,Glacier Dome,Annapurna Himal (E of Annapurna I),7168,23517,5,None,2,1964,GLAC64301
GURJ,Gurja Himal,Dhaulagiri Himal (S of Dhaulagiri VI),7193,23599,6,None,2,1969,GURJ69301
GURK,Gurkarpo Ri,Jugal Himal (N of Dorje Lhakpa on Tibetan border),6889,22602,3,None,2,2007,GURK07301
GYAC,Gyachung Kang,Khumbu Himal (E of Cho Oyu on Tibetan border),7861,25791,2,None,2,1964,GYAC64101
GYAJ,Gyajikang,Peri Himal (SW of Himlung Himal),7074,23209,5,None,2,1994,GYAJ94301
LEOE,Leonpo Gang East,Jugal Himal (NE of Leonpo Gang on Tibetan border),6733,22090,3,Opened in 2014,2,1955,LEOE55101
HIME,Himalchuli East,Mansiri Himal (SE of Manaslu),7893,25896,4,None,2,1960,HIME60101
HIML,Himlung Himal,Peri Himal (NW of Manaslu near Tibetan border),7126,23379,5,None,2,1992,HIML92301
HIMN,Himalchuli North,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",7331,24052,4,None,2,1985,HIMN85302
RANI,Rani Peak,"Mansiri Himal (SE of Manaslu, NE of Himalchuli Main)",6693,21959,4,None,2,1970,RANI70101
HIMW,Himalchuli West,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",7540,24738,4,None,2,1978,HIMW78101
HIUP,Hiunchuli,Annapurna Himal (E of Annapurna South),6434,21109,5,None,2,1971,HIUP71301
HNKU,Hongku Chuli,"Khumbu Himal (in Hongku Valley, NE of Chamlang)",6833,22418,2,Opened in 2013?,1,nan,None
HONG,Hongde,Mukut Himal (N of Sita Chuchura in Hidden Valley),6556,21509,6,None,2,1962,HONG62101
IMJA,Imjatse,Khumbu Himal (S of Lhotse),6165,20226,2,None,2,1956,IMJA56101
JAGD,Jagdula,Jagdula Lekh (S of Kande Hiunchuli),5761,18901,7,None,2,2013,JAGD13101
JANU,Jannu,Kangchenjunga Himal (W of Kangchenjunga),7711,25299,1,None,2,1962,JANU62101
JETH,Jethi Bahurani,Api Himal (S of Nampa and Bobaye),6850,22474,7,None,2,1978,JETH78101
JONG,Jongsang,Jongsang Himal (on Indian-Tibetan border),7462,24482,1,None,2,1930,JONG30101
JUNC,Junction Peak,"Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",7133,23402,6,None,1,nan,None
KABD,Kabru Dome,Simhalila Himal (SE of Kabru in India),6600,21654,1,None,2,1982,KABD82301
KABN,Kabru North,Simhalila Himal (S of Kabru Main on Indian border),7338,24075,1,None,2,1935,KABN35301
KAG1,Kagmara I,Kagmara Lekh (S of Kanjiroba Himal),5978,19613,7,None,2,1962,KAG162101
KAN1,Kande Hiunchuli North I,Kanjiroba Himal (NW of Kanjiroba),6521,21394,7,None,1,nan,None
KAN2,Kande Hiunchuli North II,Kanjiroba Himal (NW of Kanjiroba),6471,21230,7,None,2,1980,KAN280101
KANB,Kangbachen,Kangchenjunga Himal (W Spur of Kangchenjunga),7902,25925,1,None,2,1974,KANB74101
KANC,Kangchenjunga Central,Kangchenjunga Himal (between Main and South summits),8473,27799,1,None,2,1978,KANC78102
KAND,Kande Hiunchuli,Kanjiroba Himal (WNW of Kanjiroba),6627,21742,7,None,2,1972,KAND72301
KANG,Kangchenjunga,Kangchenjunga Himal,8586,28169,1,None,2,1955,KANG55101
KANS,Kangchenjunga South,Kangchenjunga Himal,8476,27808,1,None,2,1978,KANS78101
KARY,Karyolung,Rolwaling Himal (SE of Numbur),6530,21424,2,None,2,1982,KARY82301
KCHN,Kangchung Nup,Khumbu Himal (NE of Gokyo Lake),6043,19826,2,None,2,1953,KCHN53101
NAYA,Naya Kanga,Jugal Himal (W of Ganchempo by Kangja La),5863,19236,3,None,2,nan,None
KGUR,Kang Guru,Peri Himal (SW of Himlung Himal),6981,22904,5,None,2,1955,KGUR55201
KHAT,Khatang,Rolwaling Himal (E of Numbur),6790,22277,2,None,2,1982,KHAT82301
KHON,Khongma Tse,Khumbu Himal (SW of Nuptse),5798,19022,2,None,2,nan,None
KJER,Kanjeralwa,Kanjiroba Himal (NW of Phoksumdo Tal),6612,21693,7,None,2,1973,KJER73101
KJRN,Kanjiroba North,Kanjiroba Himal,6858,22500,7,Opened in 2014,1,nan,None
KJRS,Kanjiroba South,Kanjiroba Himal,6883,22582,7,One permit for Kanjiroba's north and south summits,2,1970,KJRS70301
KOTA,Kotang,Simhalila Himal (SSW of Rothang on Indian border),6148,20171,1,None,2,1982,KOTA82301
KTEG,Kangtega,Khumbu Himal (SW of Ama Dablam),6783,22254,2,None,2,1963,KTEG63101
KTSU,Kangtsune,"Kagmara Lekh (SE of Kanjiroba, W of Kanjeralwa)",6444,21142,7,None,1,nan,None
KUSU,Kusum Kanguru,Khumbu Himal (NE of Lukla village),6370,20899,2,None,2,1981,KUSU81302
KWAN,Kwangde,Rolwaling Himal (W of Namche Bazar),6186,20295,2,None,2,1978,KWAN78301
LAMJ,Lamjung Himal,Annapurna Himal (SE of Annapurna II),6983,22910,5,None,2,1974,LAMJ74101
LANG,Langtang Lirung,Langtang Himal,7227,23711,3,None,2,1978,LANG78301
LANR,Langtang Ri,Langtang Himal (NE of Langtang Lirung on Tibetan border),7205,23638,3,None,2,1981,LANR81301
LEON,Leonpo Gang,Jugal Himal (NNE of Dorje Lhakpa on Tibetan border),6979,22897,3,None,2,1962,LEON62101
LHAS,Lha Shamma,"Kagmara Lekh (S of Kanjiroba, NNW of Kagmara I)",6412,21037,7,Opened in 2014,2,1962,LHAS62101
LHOT,Lhotse,Khumbu Himal,8516,27940,2,None,2,1956,LHOT56101
MUKT,Mukut Himal,"Mukut Himal (N of Sita Chuchura, S of Hongde)",6087,19970,6,Opened in 2014,2,1967,MUKT67301
LNPO,Langpo,Jongsang Himal (SE of Jongsang on Indian border),6965,22851,1,None,2,1909,LNPO09301
LOBE,Lobuje East,Khumbu Himal (SW of Pumori),6090,19980,2,None,2,1984,LOBE84101
LOBW,Lobuje West,Khumbu Himal (SW of Pumori),6135,20128,2,Converted to trekking peak in 2002,2,1984,LOBW84301
LSHR,Lhotse Shar,Khumbu Himal (ESE of Lhotse and Lhotse Middle),8382,27500,2,None,2,1970,LSHR70101
LSIS,Langshisa Ri,Jugal Himal (NW of Dorje Lhakpa),6412,21037,3,Converted to trekking peak in 2002,2,1982,LSIS82101
MACH,Machhapuchhare,Annapurna Himal (SE of Annapurna III),6993,22943,5,Closed,1,nan,None
BTAK,Bhairab Takura,Jugal Himal (ENE of Dorje Lhakpa on Tibetan border),6799,22306,3,None,2,1960,BTAK60101
MAK2,Makalu II,Makalu Himal (NNW of Makalu on Tibetan border),7678,25190,2,None,2,1954,MAK254301
MAKA,Makalu,Makalu Himal,8485,27838,2,None,2,1955,MAKA55101
MANA,Manaslu,Manaslu Himal,8163,26781,4,None,2,1956,MANA56101
MANN,Manaslu North,Manaslu Himal (N of Manaslu),6994,22946,4,None,2,1964,MANN64301
MANP,Manapathi,Dhaulagiri Himal (SSW of Dhaulagiri I),6380,20932,6,None,2,1956,MANP56101
MARD,Mardi Himal,Annapurna Himal (SW of Machhapuchhare),5553,18219,5,None,2,1962,MARD62101
MERA,Mera Peak,Khumbu Himal (S of Ama Dablam),6470,21227,2,None,2,1953,MERA53101
MING,Mingbo Ri,Khumbu Himal (S of Ama Dablam and Mingbo La),6207,20364,2,None,1,nan,None
NALA,Nalakankar North,Nalakankar Himal (on W Nepal/Tibetan border),6062,19888,7,None,2,2000,NALA00201
NAMP,Nampa,Api Himal (E of Api),6729,22077,7,None,2,1972,NAMP72101
NCHU,Nupchu,Ohmi Kangri Himal (NW of Kangchenjunga),6172,20249,1,None,2,1962,SPH462101
NEMJ,Nemjung,Peri Himal (S of Himlung Himal and Himjung),7140,23425,5,None,2,1983,NEMJ83301
NEPA,Nepal Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7177,23547,1,None,2,1930,NEPA30101
NGO2,Ngojumba Kang II,Khumbu Himal (NE of Cho Oyu on Tibetan border),7743,25404,2,None,2,1965,NGO265101
NGOJ,Ngojumba Kang I,Khumbu Himal (NE of Cho Oyu on Tibetan border),7916,25971,2,Opened in 2014 as Tenzing Peak,2,1982,NGOJ82302
NILC,Nilgiri Central,Annapurna-Nilgiri Himal (NW of Annapurna I),6940,22769,5,None,2,1979,NILC79101
NILN,Nilgiri North,Annapurna-Nilgiri Himal (NW of Annapurna I),7061,23166,5,None,2,1962,NILN62301
NILS,Nilgiri South,Annapurna-Nilgiri Himal (NW of Annapurna I),6839,22438,5,None,2,1978,NILS78301
NUMB,Numbur,Rolwaling Himal (SW of Namche Bazar),6958,22828,2,None,2,1963,NUMB63101
NUPT,Nuptse,Khumbu Himal (SW of Everest),7864,25801,2,None,2,1961,NUPT61101
OHMI,Ohmi Kangri,Ohmi Kangri Himal (NW of Kangchenjunga on Tibetan border),6839,22438,1,None,2,1985,OHMI85101
OMBK,Ombak Himal,Ohmi Kangri Himal (NE of Ombak La in Tibet),6300,20669,1,None,1,nan,None
PALD,Paldor,Ganesh Himal (SE of Ganesh V),5903,19367,4,None,2,1949,PALD49201
PANG,Pangbuk Ri,Rolwaling Himal (N of Menlung La on Tibetan border),6625,21736,2,Opened in 2002,2,2011,PANG11301
PARC,Parchamo,Rolwaling Himal (S of Tesi Laptsa),6279,20600,2,None,2,1955,PARC55101
PATR,Patrasi Himal,Kanjiroba Himal (NE of Kande Huinchuli),6450,21161,7,None,1,nan,None
PETH,Pethangtse,Khumbu Himal (NW of Makalu on Tibetan border),6739,22110,2,Opened in 2002,2,1954,PETH54101
PHUR,Phurbi Chhyachu,Jugal Himal (SE of Dorje Lhakpa on Tibetan border),6637,21775,3,None,2,1982,PHUR82101
PIMU,Pimu,Rolwaling Himal (N of Tesi Laptsa),6344,20814,2,None,2,1955,PIMU55101
PISA,Pisang,Damodar Himal (N of Marysangdi Valley),6091,19984,5,None,2,1955,PISA55201
PK29,Peak 29,Manaslu Himal (S of Manaslu),7871,25823,4,None,2,1979,PK2979101
POIN,Pointed Peak,"Khumbu Himal (N of Cholatse, S of Tshola La)",5850,19193,2,None,2,1953,POIN53101
POKA,Pokalde,Khumbu Himal (N of Ama Dablam),5780,18963,2,None,2,1953,POKA53101
OMBG,Ombigaichen,Khumbu Himal (SE of Ama Dablam),6340,20801,2,Opened in 2002 as trekking peak,2,1960,OMBG60301
PUMO,Pumori,Khumbu Himal (WNW of Everest on Tibetan border),7138,23419,2,None,2,1962,PUMO62101
PUTH,Putha Hiunchuli,Dhaulagiri Himal (W of Churen Himal),7246,23773,6,None,2,1954,PUTH54301
PYRM,Pyramid Peak,Jongsang Himal (N of Kangchenjunga on Indian border),7140,23425,1,None,2,1993,PYRM93101
RAKS,Raksha Urai,Raksha Urai Himal (ESE of Nampa),6609,21683,7,None,2,2003,RAKS03301
RAMD,Ramdung,Rolwaling Himal (W of Tesi Laptsa),5900,19357,2,None,2,1952,RAMD52301
RATH,Rathong,Simhalila Himal (SW of Kabru on Indian border),6682,21923,1,None,2,1964,RATH64301
ROCN,Roc Noir,Annapurna Himal (ENE of Annapurna I),7485,24557,5,None,2,1969,ROCN69101
ROKA,Rokapi,"Api Himal (S of Nampa, Bobaye and Jethi Bahurani)",6468,21220,7,Opened in 2002,2,1977,ROKA77301
SAIE,Saipal East Humla,Saipal Himal (NE of Saipal),6925,22720,7,None,2,1990,SAIP90301
SAIP,Saipal,Saipal Himal,7030,23064,7,None,2,1963,SAIP63301
SHAR,Shartse,Khumbu Himal (E of Lhotse Shar on Tibetan border),7591,24905,2,None,1,nan,None
SHA2,Shartse II,Khumbu Himal (E of Lhotse Shar on Tibetan border),7457,24465,2,None,2,1974,SHA274101
SHEY,Shey Shikhar,Kanjiroba Himal (SE of Kanjiroba and Tripura Hiunchuli),6139,20141,7,None,2,2007,SHEY07201
SING,Singu Chuli,Annapurna Himal (Annapurna Sanctuary),6501,21329,5,None,2,1957,SING57101
SISN,Sisne Himal,Sisne Himal (SW of Juphal in Rukum),5911,19393,7,None,2,2013,SISN13101
SITA,Sita Chuchura,Mukut Himal (ENE of Dhaulagiri II near French Pass),6611,21690,6,None,2,1970,SITA70301
SNOW,Snow Peak,Dhaulagiri Himal (E of Dhaulagiri II),6530,21424,6,None,1,nan,None
SPHN,Sphinx,Jongsang Himal (NE of Pathibhara on Indian border),6825,22392,1,Opened in 2014,2,1936,SPHN36101
SPH1,Sharphu I,Ohmi Kangri Himal (WNW of Kangchenjunga),6433,21106,1,Opened in 2002,2,1963,SPH163301
SURM,Surma-Sarovar North,Api Himal (SSE of Jethi Bahurani),6564,21535,7,None,1,nan,None
TAWO,Tawoche,Khumbu Himal (NW of Ama Dablam),6495,21309,2,None,2,1974,TAWO74101
KIRA,Kirat Chuli,Jongsang Himal (N of Kangchenjunga on Indian border),7362,24154,1,None,2,1939,KIRA39101
THAM,Thamserku,Khumbu Himal (SW of Ama Dablam),6618,21713,2,None,2,1964,THAM64301
THAR,Tharpu Chuli,Annapurna Himal (Annapurna Sanctuary),5695,18684,5,None,2,1964,THAR64301
TILI,Tilicho,Annapurna-Nilgiri Himal (N of Annapurna I),7134,23406,5,None,2,1978,TILI78301
TLNG,Talung,Simhalila Himal (S of Kangchenjunga on Indian border),7349,24111,1,Opened in 2002,2,1964,TLNG64101
TONG,Tongu,Mukut Himal (N of Hongde in Hidden Valley),6187,20299,6,None,2,1959,TONG59301
TRIP,Tripura Hiunchuli,Kanjiroba Himal (SE of Kanjiroba),6553,21499,7,None,2,1986,TRIP86301
TSOK,Tso Karpo Kang,Kanjiroba Himal (E of Kanjiroba),6556,21509,7,Opened in 2002,2,1971,TSOK71301
TUKU,Tukuche,Dhaulagiri Himal (NE of Dhaulagiri I),6920,22703,6,None,2,1970,TUKU70101
URKM,Urkinmang,Jugal Himal (W of Dorje Lhakpa),6143,20154,3,None,2,1964,URKM64101
ANID,Anidesh Chuli,Kangchenjunga Himal (W of Kangbachen),6808,22336,1,Opened in 2002,1,nan,None
TSUR,Tsaurabong Peak,Dhaulagiri Himal (SSE of Dhaulagiri V),6395,20981,6,None,2,1974,TSUR74101
YALU,Yalung Kang,Kangchenjunga Himal (W summit of Kangchenjunga),8505,27904,1,None,2,1973,YALU73101
PASA,Pasang Lhamu Chuli,Khumbu Himal (W of Cho Oyu & Cho Aui on Tibetan border),7350,24114,2,None,2,1986,PASA86301
RATC,Ratna Chuli,Peri Himal (NW of Himlung on Tibetan border),7035,23081,5,Opened in 2002,2,1996,RATC96301
KANT,Kanti Himal,Kanti Himal (NNW of Kanjiroba on Tibetan border),6850,22474,7,Opened in 2002,2,2002,KANT02301
RAMT,Ramtang,Kangchenjunga Himal (N of Kangbachen),6601,21657,1,Opened in 1997,2,1930,RAMT30101
LING,Lingtren,Khumbu Himal (ENE of Pumori on Tibetan border),6713,22024,2,Opened in 2002,2,1935,LING35201
TENG,Tengkoma,Jongsang Himal (NW of Kangchenjunga),6215,20390,1,Opened in 1997,2,1949,TENG49101
RAMC,Ramtang Chang,Kangchenjunga Himal (N of Ramtang),6802,22316,1,Opened in 2002,2,1974,RAMC74301
CHRE,Churen Himal East,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,6,One permit for Churen Himal's three summits,2,1970,CHRE70101
CHRW,Churen Himal West,Dhaulagiri Himal (NW of Dhaulagiri VI),7371,24183,6,One permit for Churen Himal's three summits,2,1970,CHRW70301
CHRI,Chhukung Ri,Khumbu Himal (S of Lhotse),5550,18209,2,Opened in 1997; converted to trekking peak in 2002,2,1965,CHRI65101
KTOK,Kangtokal,Dhaulagiri Himal (on ridge N of Putha Hiunchuli),6294,20650,6,Opened in 1997,2,1962,KTOK62101
SRKU,Serku Dolma,Kanjiroba Himal (S of Tso Karpo Kang),6227,20430,7,None,2,1973,SRKU73301
NALS,Nalakankar South,Nalakankar Himal (on W Nepal/Tibetan border),6024,19764,7,None,2,2000,NALS00201
CHWT,Changwathang,Chandi Himal (S of Tibetan border),6130,20112,7,Opened in 2002,2,2000,CHWT00201
TAKP,Takphu Himal,Nalakankar Himal (on W Nepal/Tibetan border),6395,20981,7,Opened in 2003,2,2018,TAKP18301
MALA,Malanphulan,"Khumbu Himal (S of Ama Dablam, NW of Kangtega)",6573,21565,2,Opened in 2014,2,2000,MALA00101
LHOM,Lhotse Middle,Khumbu Himal (E of Lhotse),8410,27592,2,Opened in 2001,2,2001,LHOM01101
SIMN,Simnang Himal,Manaslu Himal (SE of Manaslu),6251,20509,4,Opened in 2001,2,2001,SIMN01101
HCHI,Hungchhi,Khumbu Himal (S of Gyachung Kang on Tibetan border),7029,23061,2,Opened in 2001,2,2003,HCHI03102
LAMP,Lampo,Ganesh Himal (N of Ganesh I on Tibetan border),6648,21811,4,None,1,nan,None
CHUK,Chhukung Tse,Khumbu Himal (S of Lhotse),5833,19137,2,None,2,1953,CHUK53101
DZAN,Dzanye,Janak Himal (WNW of Lashar I on Tibetan border),6581,21591,1,None,2,1949,DZAN49101
GAUG,Gaugiri,Damodar Himal (N of Bhrikuti on Tibetan border),6110,20046,5,Opened in 2002,2,2002,GAUG02101
TKPO,Tengkangpoche,Rolwaling Himal (W of Kwangde),6482,21266,2,Opened in 2001,2,1984,TKPO84301
ARNK,Arniko Chuli,Mukut Himal (W Mustang near Tibetan border),6034,19797,6,Opened in 2002,2,2002,ARNK02201
SARI,Saribung,Damodar Himal (W of Bhrikuti),6328,20761,5,Opened in 2002,2,2003,SARI03301
GHEN,Ghenge Liru,Langtang Himal (WSW of Langtang Lirung),6596,21640,3,Opened in 2002,2,1963,GHEN63101
NAUL,Naulekh,Khumbu Himal (S of Mera Peak),6340,20801,2,Opened in 2002,2,1954,NAUL54101
CHEK,Chekigo,Rolwaling Himal (ENE of Beding village on Tibetan border),6121,20082,2,Opened in 2002 as trekking peak,2,2005,CHEK05101
KTUN,Khatung Khang,Annapurna-Nilgiri Himal (SW of Thorong La),6484,21273,5,Opened in 2002,2,1956,KTUN56101
CHAG,Chago,Makalu Himal (NW of Makalu II on Tibetan border),6893,22615,2,Opened in 2002,2,1954,CHAG54101
NUMR,Numri,"Khumbu Himal (S of Cho Polu, N of Baruntse)",6635,21768,2,Opened in 2002,2,2002,NUMR02301
PK41,Peak 41,Khumbu Himal (ESE of Ama Dablam),6648,21811,2,Opened in 2002,2,2002,PK4102301
KYAZ,Kyazo Ri,Khumbu Himal (SW of Gokyo Lake),6151,20180,2,Opened in 2002 as trekking peak,2,2002,KYAZ02301
PAND,Pandra,Ohmi Kangri Himal (NW of Lhonak),6670,21883,1,Opened in 2002,2,2002,PAND02301
DANG,Danga,"Ohmi Kangri Himal (WNW of Lhonak, E of Nupchu)",6220,20407,1,Opened in 2002,2,2002,DANG02301
POKR,Pokharkang,Damodar Himal (N of Pisang Peak),6372,20906,5,Opened in 2002,2,2002,POKR02301
NAG1,Nangpai Gosum I,Khumbu Himal (WSW of Cho Oyu on Tibetan border),7321,24019,2,Opened in 2002,2,2017,NAG117301
KGRI,Khangri Shar,Khumbu Himal (W of Pumori),6792,22283,2,Opened in 2002,1,nan,None
KGRW,Khangri West,Khumbu Himal (W of Pumori),6658,21844,2,Opened in 2002,1,nan,None
PURB,Purbung Himal,Damodar Himal (N of Chulu West),6500,21325,5,Opened in 2002,1,nan,None
TASH,Tashi Kang,Mukut Himal (N of Dhampus Peak),6386,20951,6,Opened in 2002,2,2002,TASH02201
TENR,Tengi Ragi Tau,Rolwaling Himal (N of Tesi Laptsa),6938,22762,2,Opened in 2002,2,2002,TENR02401
KYAS,Kyashar,Khumbu Himal (S of Kantega),6770,22211,2,Opened in 2002,2,2003,KYAS03301
NREK,Nirekha,Khumbu Himal (NW of Lobuje Peak),6159,20207,2,Opened in 2002 as trekking peak,2,nan,None
NORB,Norbu Kang,Kanjiroba Himal (SE of Phoksumdo Tal),6085,19964,7,Opened in 2002,2,2003,NORB03201
LNKE,Lunchhung Kamo East,Kanti Himal (SE of Danfe Sail on Tibetan border),6024,19764,7,None,2,1999,LNKE99201
LIK1,Linkhu Chuli Shar,Rolwaling Himal (S of Parchamo),6719,22044,2,Opened in 2003,2,2013,LIK113301
LIK2,Linkhu Chuli Nup,"Rolwaling Himal (SSW of Parchamo, W of Likhu Chuli Shar)",6659,21847,2,Opened in 2003,2,1960,LIK260301
PANT,Panalotapa,Rolwaling Himal (W of Tengkangpoche),6687,21939,2,Opened in 2003,2,1955,PANT55101
SHAL,Shalbachum,Langtang Himal (E of Langtang Lirung on Tibetan border),6707,22005,3,Opened in 2003,2,1959,SHAL59301
KHUM,Khumbutse,Khumbu Himal (NW of Lho La on Tibetan border),6639,21781,2,None,1,nan,None
BOKT,Boktoh,Kangchenjunga Himal (SE of Jannu),6114,20059,1,Opened in 2002,2,1991,BOKT91101
MOJC,Mojca,Kangchenjunga Himal (W of Ramtang Chang),6024,19764,1,Opened in 2002,2,1974,MOJC74301
PLNG,Palung,North of Cho Oyu (in Tibet),7012,23005,2,Peak entirely within China,2,1952,PLNG52101
TUTS,Tutse,Makalu Himal (SE of Makalu),6758,22172,2,Opened in 2003,1,nan,None
NUPE,Nuptse East I,Khumbu Himal (E of Nuptse main summit),7795,25574,2,Requires permit for Nuptse,2,2003,NUPE03301
AMOT,Amotsang,Damodar Himal (NW of Pokharhan),6393,20974,5,Opened in 2002,2,2019,None
YANS,Yansa Tsenji,Langtang Himal (SW of Shalbachum on Tibetan border),6567,21545,3,Opened in 2003,1,nan,None
HIMJ,Himjung,Peri Himal (S of Himlung Himal),7092,23268,5,Opened in 2002,2,2012,HIMJ12301
AMPH,Amphu I,"Khumbu Himal (E of Amphu Laptsa, W of Baruntse)",6740,22113,2,Opened in 2002,2,2013,AMPH13301
CHAB,Chabuk,Ohmi Kangri Himal (E of Ohmi Kangri on Tibetan border),6792,22283,1,Opened in 2002,1,nan,None
CHAK,Chako,Damodar Himal (ESE of Bhrikuti Shail),6704,21995,5,Opened in 2003,2,2007,CHAK07201
DOMK,Dome Kang,Jongsang Himal (ESE of Jongsong on Indian border),7264,23832,1,Opened in 2002,2,2009,DOMK09101
GHAN,Ghhanyala Hies,Janak Himal (NW of Janak Chuli on Tibetan border),6744,22126,1,Opened in 2002,1,nan,None
HUNK,Hunku,Khumbu Himal (NNE of Peak 41),6119,20075,2,"Opened in 2002, delisted in 2013?",2,2012,HUNK12302
JANK,Janak Chuli,Janak Himal (WNW of Jongsang on Tibetan border),7041,23100,1,Opened in 2002,2,2006,JANK06101
KABS,Kabru South,Simhalila Himal (S of Kabru North on Indian border),7318,24009,1,Opened in 2003,2,1994,KABS94101
KABR,Kabru Main,Simhalila Himal (S of Talung on Indian border),7412,24318,1,Opened in 2014,2,1994,KABR94101
LASH,Lashar I,Janak Himal (NW of Lashar II on Tibetan border),6842,22448,1,Opened in 2002,2,2005,LASH05301
LAS2,Lashar II,Janak Himal (SW of Ghhanyala Hies on Tibetan border),6803,22320,1,Opened in 2002,1,nan,None
NAG2,Nangpai Gosum II,Khumbu Himal (WSW of Cho Oyu on Tibetan border),7287,23907,2,Opened in 2002,1,nan,None
NANG,Nangamari I,Ohmi Kangri Himal (W of Chaw Peak on Tibetan border),6547,21480,1,Opened in 2003,2,2010,NANG10301
PANB,Panbari,Peri Himal (NW of Larkya La),6905,22654,5,Opened in 2002,2,2006,PANB06301
PHNH,Phungi Himal,Manaslu Himal (W of Manaslu),6538,21450,4,Opened in 2003,2,2017,PHNH17301
MARI,Mariyang,Kanti Himal (SE of Kanti Himal on Tibetan border),6528,21417,7,Opened in 2003,1,nan,None
TKRG,Takargo,Rolwaling Himal (E of Chobutse),6771,22215,2,Opened in 2003,2,2010,TKRG10101
THUL,Thulagi,Manaslu Himal (SW of Manaslu),7059,23159,4,Opened in 2003,2,2015,THUL15301
JOMS,Jomsom Himal,Damodar Himal (WNW of Amotsang Himal),6335,20784,5,Opened in 2002,2,2003,JOMS03301
BAMO,Bamongo,Rolwaling Himal (E of Chekigo on Tibetan border),6406,21017,2,Opened in 2002,2,2013,BAMO13301
CHAW,Chaw Peak,Ohmi Kangri Himal (WNW of Ohmi Kangri on Tibetan border),6404,21010,1,Opened in 2002,1,nan,None
DING,Dingjung North,Rolwaling Himal (S of Pangbuk Ri on Tibetan border),6249,20502,2,Opened in 2014,2,1955,DING55101
KNAG,Kang Nagchugo,Rolwaling Himal (E of Chekigo on Tibetan border),6737,22103,2,Opened in 2002,2,2008,KNAG08301
KBON,Konabon,Dhaulagiri Himal (SE of Gurja Himal),6570,21555,6,Opened in 2003,1,nan,None
KHAM,Khamjung,Damodar Himal (W of Saribung and Bhrikuti),6759,22175,5,Opened in 2002,2,1982,None
KYR1,Kyungka Ri 1,Langtang Himal (NE of Shalbachum near Tibetan border),6599,21650,3,Opened in 2003,2,2017,KYR117301
KYR2,Kyungka Ri 2,Langtang Himal (NE of Shalbachum on Tibetan border),6506,21345,3,Opened in 2003,1,nan,None
KOJI,Kojichuwa Chuli,Kanti Himal (NNW of Kanti Himal peak on Tibetan border),6439,21125,7,Opened in 2003,2,2010,KOJI10101
CHIV,Chhiv Himal,Damodar Himal (SW of Saribang and WSW of Bhrikuti),6650,21818,5,Opened in 2002,2,2004,CHIV04301
LMOC,Langmoche Ri,Rolwaling Himal (N of Tesi Laptsa),6552,21496,2,Opened in 2002,2,2012,LMOC12301
LCHA,Lachama Chuli,Changla Himal (N of Gorakh Himal on Tibetan border),6721,22051,7,Opened in 2003,2,2007,LCHA07301
PAN1,Panpoche 1,Manaslu Himal (NE of Sama village near Tibetan border),6620,21719,4,Opened in 2003,2,2019,PAN119301
PAN2,Panpoche 2,Manaslu Himal (NE of Sama village near Tibetan border),6504,21339,4,Opened in 2003,2,2019,PAN219301
PHOL,Phole,Kangchenjunga Himal (W of Kumbhakarna and Sobitongie),6645,21801,1,Opened in 2002,1,nan,None
PHUK,Phu Kang,Peri Himal (N of Cheo Himal on Tibetan border),6694,21962,5,Opened in 2003,1,nan,None
LNGK,Langchung Khang,Jongsang Himal (NW of Langpo on Indian border),6786,22264,1,Opened in 2002,1,nan,None
PK04,Peak 4,Khumbu Himal (SE of Baruntse),6736,22100,2,Opened in 2003,1,nan,None
NAM2,Nampa II,Api Himal (W of Nampa),6585,21604,7,Opened in 2002,1,nan,None
NAM3,Nampa III,Api Himal (SE of Nampa),6611,21690,7,Opened in 2002,1,nan,None
NAMS,Nampa South,"Api Himal (S of Nampa, W of Nampa Chuli)",6130,20112,7,Opened in 2002,1,nan,None
SOBI,Sobithongie,Kangchenjunga Himal (W of Kumbhakarna),6652,21824,1,Opened in 2002,1,nan,None
SHER,Shershon,Makalu Himal (NE of Shershon village on Tibetan border),6432,21102,2,Opened in 2003,1,nan,None
SWAK,Swaksa Kang,Kanti Himal (SE of Kanti Himal peak on Tibetan border),6405,21014,7,Opened in 2003,1,nan,None
TILJ,Tilje,Peri Himal (SE of Gyajikang),6530,21424,5,Opened in 2002,1,nan,None
TSAR,Tsartse,Mukut Himal (N of Dhampus Peak),6343,20810,6,Opened in 2002,2,2018,TSAR18301
YAKA,Yakawa Kang,Damodar Himal (N of Thorong La),6482,21266,5,Opened in 2003,2,2010,YAKA10301
YAUP,Yaupa,Makalu Himal (NE of Shershon village on Tibetan border),6422,21070,2,Opened in 2003,2,1989,YAUP89301
TILK,Til Kang,Nalakankar Himal (on W Nepal/Tibetan border),6369,20896,7,Opened in 2003,2,2018,TILK18301
YOKO,Yokopahar,Guras Himal (NNE of Nampa towards Tibetan border),6423,21073,7,Opened in 2002,1,nan,None
